qtyNeeded,imageUrl,productUrl,productTitle,itemPrice__amount
1,"https://m.media-amazon.com/images/I/71qXyojrOIL._SR500,500_.jpg",/dp/B0B974GRLY,"BRODARK Kitchen Knife Set with Block, Full Tang 15 Pcs Professional Chef Knife Set with Knife Sharpener, Food Grade German Stainless Steel Knife Block Set, Steel-king Series",89.0
1,"https://m.media-amazon.com/images/I/61FNRJf5I3L._SR500,500_.jpg",/dp/B0BS71D8C9,"Hoover ONEPWR Evolve Pet Elite Cordless Upright Vacuum Cleaner, for Carpet and Hard Floor, Portable and Lightweight, Superior Suction with Tangle Guard Brush Roll, BH53801V, Black",229.99
1,"https://m.media-amazon.com/images/I/61xH3rLURnL._SR500,500_.jpg",/dp/B095Z7MFKN,"Ice Cream Scoop,7 inches Nonstick Anti-Freeze One Piece Aluminum Scooper Spoon, Heavy Duty Durable Design, Easy Clean, for Gelato, Cookie Dough, Sorbet, Almond (Silver)",6.98
1,"https://m.media-amazon.com/images/I/61SUj2aKoEL._SR500,500_.jpg",/dp/B0D1XD1ZV3,"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",169.99
5,"https://m.media-amazon.com/images/I/81S-8q2TpnL._SR500,500_.jpg",/dp/B0C3F9RH3S,"Tide plus Downy Liquid Laundry Detergent Soap, April Fresh Scent, HE Compatible, 94 Loads, 132 fl oz",19.94
1,"https://m.media-amazon.com/images/I/61LyxaU9urL._SR500,500_.jpg",/dp/B0CGHLRV9K,"ZIKIBL Stone Bath Mat Diatomaceous Earth Shower Mat Stone Super Absorbent Diatomite Stone Bath Mats for Bathroom Quick-Drying Non-Slip Barhroom Floor Mat, Easy to Clean (24 * 16'')",29.89
5,"https://m.media-amazon.com/images/I/81Y+TJnkuCS._SR500,500_.jpg",/dp/B01G8KYP7Y,"Hefty Ultra Strong Tall Kitchen Trash Bags, 13 Gallon Citrus Twist Scent, 80 Count (Pack of 1), White",13.46
1,"https://m.media-amazon.com/images/I/71cYs7QJAyL._SR500,500_.jpg",/dp/B0BFN7K6ZZ,"VRIEXSD 400 Piece Large First Aid Kit Premium Emergency Kits for Home, Office, Car, Outdoor, Hiking, Travel, Camping, Survival Medical First Aid Bag, Red",39.99
1,"https://m.media-amazon.com/images/I/41Xk6hafd3L._SR500,500_.jpg",/dp/B0CQT26VCW,"Midea MERC07C4BAWW Cubic Feet Chest Freezer, 7.0 Cu.ft-New, White",269.99
3,"https://m.media-amazon.com/images/I/81jdmPo8pAL._SR500,500_.jpg",/dp/B00HSC9F2C,"Clorox Disinfecting Wipes Value Pack, Household Essentials, 75 Count, Pack of 3 (Package May Vary)",12.78
1,"https://m.media-amazon.com/images/I/61rCv-rpRLL._SR500,500_.jpg",/dp/B0CRZ95KTM,"Artena Cereal Bowls 26 OZ, Ceramic Soup Bowls For Kitchen, Embossment Bowls For Rice Pasta Salad, White Bowls For Breakfast Lunch Dinner, 6 Inch, Set Of 6, Dishwasher & Microwave Safe, Thick Stripe",29.95
1,"https://m.media-amazon.com/images/I/71ogb6eFcBL._SR500,500_.jpg",/dp/B0CXXLRWBT,"Dobbyby Bathroom Organizer Countertop Perfume Organizer Makeup Organizer Cosmetics Storage Display Rack 2 Tier Vanity Tray Dresser Stainless Steel Gold Shelf White Marble Ceramic Tray (Sliver, XL)",65.99
1,"https://m.media-amazon.com/images/I/71ZqQr2yU3L._SR500,500_.jpg",/dp/B008J8MJIQ,"Hamilton Beach Food Processor & Vegetable Chopper for Slicing, Shredding, Mincing, and Puree, 10 Cups + Easy Clean Bowl Scraper, Black and Stainless Steel (70730)",54.99
4,"https://m.media-amazon.com/images/I/61cd7OI-lLL._SR500,500_.jpg",/dp/B0D14X4T5M,"Sparkle® Tear-A-Square® Paper Towels, 2 Double Rolls : 4 Regular Rolls, 2 Count (Pack of 2)",6.96
1,"https://m.media-amazon.com/images/I/517G7Zh7o7L._SR500,500_.jpg",/dp/B0BWLS6DX2,"12 Inch Glass Lid for Frying Pan, Fry Pan, Skillet, Pan Lid, Fits Lodge 12 Inch Cast Iron Skillets and 7 Quart Dutch Ovens 12""/30cm, Clear",17.79
1,"https://m.media-amazon.com/images/I/71xBKH4owuL._SR500,500_.jpg",/dp/B09MZTSSR2,"Instant Pot Duo Plus, 8-Quart Whisper Quiet 9-in-1 Electric Pressure Cooker, Slow Rice Cooker, Steamer, Sauté, Yogurt Maker, Warmer & Sterilizer, App With Over 800 Recipes, Stainless Steel",149.99
1,"https://m.media-amazon.com/images/I/81QoVQSS6zL._SR500,500_.jpg",/dp/B077VX7WLR,Made in USA Walnut Cutting Board by Virginia Boys Kitchens - Butcher Block made from Sustainable Hardwood (20x15),140.0
2,"https://m.media-amazon.com/images/I/81qFfV--MLL._SR500,500_.jpg",/dp/B0C5T4KBPQ,"Homaxy 100% Cotton Waffle Weave Kitchen Dish Towels, Ultra Soft Absorbent Quick Drying Cleaning Towel, 13 x 28 Inches, 6-Pack, Mixed Color",22.99
1,"https://m.media-amazon.com/images/I/71bdA43JPyL._SR500,500_.jpg",/dp/B00KLLDGXG,"KitchenAid Artisan Series 5 Quart Tilt Head Stand Mixer with Pouring Shield KSM150PS, Lavender Cream",329.95
1,"https://m.media-amazon.com/images/I/710w2H0ip+L._SR500,500_.jpg",/dp/B0BGPF71Q6,"LEVOIT Air Purifiers for Home Large Room Up to 1800 Ft² in 1 Hr with Washable Filters, Air Quality Monitor, Smart WiFi, HEPA Sleep Mode for Allergies, Pet Hair, Pollen in Bedroom, Vital 200S-P, White",189.99
1,"https://m.media-amazon.com/images/I/81DQIdGeZML._SR500,500_.jpg",/dp/B0CQT1SMDP,"Umien Granite Mortar and Pestle Set Guacamole Bowl Molcajete Mexicano 3.5 Cups - Natural Stone Grinder for Spices, Seasonings, Pastes, Pestos and Guacamole",28.99
1,"https://m.media-amazon.com/images/I/81VXnbJqmWL._SR500,500_.jpg",/dp/B0C415HQPX,"iRobot Roomba Combo j9+ Self-Emptying & Auto-Fill Robot Vacuum & Mop – Multi-Functional Base Refills Bin and Empties Itself, Vacuums and Mops Without Needing to Avoid Carpets, Avoids Obstacles?",1079.0
1,"https://m.media-amazon.com/images/I/71Q03CscXML._SR500,500_.jpg",/dp/B0D39W652V,Ezy Breezy Sourdough Kit | Banneton Proofing Baskets 10 Inch Round & 9 Inch Oval | Glass Starter Jar | Danish Dough Whisk | Sourdough Bread Kit & Recipe Ebook All Included,29.95
1,"https://m.media-amazon.com/images/I/81ZdXTxw-tL._SR500,500_.jpg",/dp/B015CQZO3Y,"OXO Good Grips Non-Stick Pro Pizza Pan, 15 Inch",28.0
1,"https://m.media-amazon.com/images/I/61VJ066hfPL._SR500,500_.jpg",/dp/B09Y25BY8G,"HexClad Hybrid Nonstick 10-Inch Fry Pan with Tempered Glass Lid, Stay-Cool Handle, Dishwasher and Oven Safe, Induction Ready, Compatible with All Cooktops",135.0
1,"https://m.media-amazon.com/images/I/81tmTYtNhQL._SR500,500_.jpg",/dp/B09JZZZ9FT,"ALPHA LIVING Splatter Guard for Frying Pan & Food Strainer and Universal Cookware 13"" - Stops Hot Oil Splash - RED Handle - Splatter Screen for Cooking",7.99
1,"https://m.media-amazon.com/images/I/61Zf0C-JKNL._SR500,500_.jpg",/dp/B01ENK4UV2,"KitchenAid KSMPEXTA Gourmet Pasta Press Attachment with 6 Interchangeable Pasta Plates, White",161.49
1,"https://m.media-amazon.com/images/I/61ZH2CEQfaL._SR500,500_.jpg",/dp/B0D2PNT3RN,"Level Lock+ (Wi-Fi) Smart Lock - World's Smallest Smart Lock Plus Apple Home Keys - Lock/Unlock from Anywhere - Level App for iOS & Android - Works with Apple Home, Alexa, Google Home (Matte Black)",349.0
1,"https://m.media-amazon.com/images/I/51YCCGCKWVL._SR500,500_.jpg",/dp/B00XBOXVIA,"Breville BOV845BSS Smart Pro Countertop Oven, One Size",269.95
1,"https://m.media-amazon.com/images/I/71gVVxqvQJL._SR500,500_.jpg",/dp/B000N4WN08,"Lodge 6 Quart Enameled Cast Iron Dutch Oven with Lid – Dual Handles – Oven Safe up to 500° F or on Stovetop - Use to Marinate, Cook, Bake, Refrigerate and Serve – Blue",71.08
1,"https://m.media-amazon.com/images/I/613cWlKGLrL._SR500,500_.jpg",/dp/B00EJU3SWY,Home-it Mop and Broom Holder Wall Mount Garden Tool Storage Tool Rack Storage & Organization for the Home Plastic Hanger for Closet Garage Organizer (5-position),9.99
1,"https://m.media-amazon.com/images/I/61nVbIy048L._SR500,500_.jpg",/dp/B00GX5H6AS,"Anchor Hocking Glass Bread Pan, 1.5 Quart Loaf Pan, Set of 3",32.28
1,"https://m.media-amazon.com/images/I/51A2BMpOFrL._SR500,500_.jpg",/dp/B0C9PV25NR,"Mini Spatula | Stainless Steel Small Spatula For Kitchen Use | Metal Spatula For Cooking Brownie, Cookie, Lasagna and More | Pie Server Spatula | Cake & Pancakes Serving Spatulas",9.29
1,"https://m.media-amazon.com/images/I/61K4rnl70cL._SR500,500_.jpg",/dp/B09R48929V,"Vinod Cookware Stainless Steel Mixing Bowls - Stackable Mixing Bowl Set - Heavy Duty Flat Bottom Stainless Steel Bowls for Meal Prep, Cooking, Mixing & Serve - Space Saving & Easy Clean - Set of 6",26.99
1,"https://m.media-amazon.com/images/I/71OS0afdPeL._SR500,500_.jpg",/dp/B07D145Y4T,Farberware Professional French Wood Rolling Pin,23.23
1,"https://m.media-amazon.com/images/I/71iD5RyhuaL._SR500,500_.jpg",/dp/B00NGV4506,"Ninja BL610 Professional 72 Oz Countertop 1000-Watt Base and Total Crushing Technology for-Smoothies, Ice and Frozen Fruit, Black, Blender + Pitcher",59.99
1,"https://m.media-amazon.com/images/I/71Fq80vk0gL._SR500,500_.jpg",/dp/B07DM7YYXR,"Last Confection Dough Blender, Professional Stainless Steel Pastry Cutter",8.99
